Master Date List,Bin 5 Flow Data (gpm),,,Bin 5,,,,,,,,,,,,,,,,,,,Bin 5 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Bin 5 Inflow (Bin 1),Bin 5 Outflow,Date,Bin 5 TDS,Bin 5 Sulfate,Bin 5 Chloride,Bin 5 Arsenic,Bin 5 Selenium,Bin 5 Chromium,Bin 5 Copper,Bin 5 Zinc,Bin 5 Nitrate,Bin 5 Nitrite,Bin 5 Phosphorus,Bin 5 COD,Bin 5 Boron,Bin 5 Color,Bin 5 Thallium,Bin 5 DOC,Bin 5 Nitrate + Nitrite as N,Bin 5 Sulfide,Date,Bin 5 Conductivity S/m,Bin 5 Conductivity µS/cm,Bin 5 DO mg/L,Bin 5 ORP,Bin 5 pH,Bin 5 Temp. Celsius,Bin 5 H2S mg/L
2/24/12,,,,2/24/12,8620,2240,2830,NA,NA,NA,NA,NA,58,NA,NA,280,NA,,,,,,,,,,,,,
2/28/12,2/28/12,0.221875,0.209375,,,,,,,,,,,,,,,,,,,,2/28/12,,9922,3.24,150,7.21,18.5,
3/7/12,3/7/12,0.21875,0.1890625,,,,,,,,,,,,,,,,,,,,3/7/12,,9987,4.17,155,7.17,18.7,
3/9/12,,,,3/9/12,NA,NA,NA,0.0219,0.0199,NA,NA,NA,56,NA,NA,NA,NA,,,,,,,,,,,,,
3/15/12,3/15/12,0.2296875,0.209375,,,,,,,,,,,,,,,,,,,,3/15/12,,10040,3.94,146,7.23,21,
3/21/12,,,,,,,,,,,,,,,,,,,,,,,3/21/12,,,,,,,
3/23/12,,,,3/23/12,9530,2590,3020,0.0371,0.0164,0.01,NA,NA,37,NA,2.1,710,NA,,,,,,,,,,,,,
3/29/12,3/29/12,0.11875,0.10625,,,,,,,,,,,,,,,,,,,,3/29/12,,11130,1.94,4,6.61,22,
4/12/12,,,,,,,,,,,,,,,,,,,,,,,4/12/12,,,,,,,
4/13/12,,,,4/13/12,NA,2440,3240,0.0507,0.0022,0.01,NA,NA,2,NA,NA,NA,NA,,,,,,,,,,,,,
5/9/12,5/9/12,0.0984375,0.0546875,,,,,,,,,,,,,,,,,,,,5/9/12,,12380,0.36,-255,6.92,25.9,
5/11/12,,,,5/11/12,NA,NA,NA,0.0868,0.0017,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
5/23/12,5/23/12,0.07734375,0.0296875,,,,,,,,,,,,,,,,,,,,5/23/12,,13380,,-258,7.03,25.7,
5/25/12,,,,5/25/12,11400,2250,3770,0.0925,0.0017,0.015,NA,NA,2,NA,2.9,550,NA,,,,,,,,,,,,,
5/30/12,5/30/12,0.18984375,0.1671875,,,,,,,,,,,,,,,,,,,,5/30/12,,12460,0.29,-232,7.07,27.2,
6/8/12,6/8/12,0.19140625,0.165625,,,,,,,,,,,,,,,,,,,,6/8/12,,12000,0.37,-255,7.04,28.6,
6/27/12,6/27/12,0.2125,0.1640625,,,,,,,,,,,,,,,,,,,,6/27/12,,12430,0.23,-289,7.13,32,
